poem_title,first_hemistich,second_hemistich,poet,meter,sub_meter,البحر,جزء البحر,era,rhyme,قافية,type_en,type_ar,link,gender
زَفَراتُ وَجدٍ ما يَبوخُ ضِرامُها,أعداه من هيف الخصور نحولها,يوم النوى ومن العيون سقامها,سِبطِ اِبنِ التَعاويذي,kamel,complete,كامل,تام,Ayyubid,meem,م,general,قصائد عامه,https://poetry.dctabudhabi.ae/#/poems/13234-%D8%B2%D9%81%D8%B1%D8%A7%D8%AA-%D9%88%D8%AC%D8%AF-%D9%85%D8%A7-%D9%8A%D8%A8%D9%88%D8%AE-%D8%B6%D8%B1%D8%A7%D9%85%D9%87%D8%A7,m
يا له حُبّا اِتَّحَد,فهو اليوم لا يقا,س بشيء ولا يحد,شاعر الحمراء,unspecified,,,,Modern,dal,د,unspecified,,https://poetry.dctabudhabi.ae/#/poems/124905-%D9%8A%D8%A7-%D9%84%D9%87-%D8%AD%D8%A8%D8%A7-%D8%A7%D8%AA%D8%AD%D8%AF,m
بِسَمْنانَ بَوْلُ الْجُوعِ مُسْتَنْقِعاً بِهِ,بسمنان بول الجوع مستنقعا به,قد اصفر من طول الإقامة حائله,أرْبَدُ بن ضابِئ الكَلْبِيّ,taweel,complete,طويل,تام,Pre_Islam,lam,ل,unspecified,,https://poetry.dctabudhabi.ae/#/poems/79374-%D8%A8%D8%B3%D9%85%D9%86%D8%A7%D9%86-%D8%A8%D9%88%D9%84-%D8%A7%D9%84%D8%AC%D9%88%D8%B9-%D9%85%D8%B3%D8%AA%D9%86%D9%82%D8%B9%D8%A7-%D8%A8%D9%87,m
انظر إلى الكواكب,والماء في المجرة,البيضاء غير ناضب,جميل صدقي الزهاوي,rajaz,majzuu,رجز,مجزوء,Modern,baa,ب,religious poems,قصائد دينية,https://poetry.dctabudhabi.ae/#/poems/86174-%D8%A7%D9%86%D8%B8%D8%B1-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D9%83%D9%88%D8%A7%D9%83%D8%A8,m
ألا يا قلب فارحل عن الأكوان جمله,تفكر لي في الكون وانظر كيف أصله,تجده الكل محتاج إلى جوده وفضله,أبو بكر العيدروس,mawalia,complete,مواليا,تام,Mamluk,lam,ل,wisdom poems,قصائد حكمة,https://poetry.dctabudhabi.ae/#/poems/102718-%D8%A3%D9%84%D8%A7-%D9%8A%D8%A7-%D9%82%D9%84%D8%A8-%D9%81%D8%A7%D8%B1%D8%AD%D9%84-%D8%B9%D9%86-%D8%A7%D9%84%D8%A3%D9%83%D9%88%D8%A7%D9%86-%D8%AC%D9%85%D9%84%D9%87,m
هجروا فواصل جفني السهر,ومدرب في الحرب تعرفه,بيض الصوارم والقنا السمر,الأبله البغدادي,kamel,complete,كامل,تام,Ayyubid,raa,ر,elegy poems,قصائد رثاء,https://poetry.dctabudhabi.ae/#/poems/119920-%D9%87%D8%AC%D8%B1%D9%88%D8%A7-%D9%81%D9%88%D8%A7%D8%B5%D9%84-%D8%AC%D9%81%D9%86%D9%8A-%D8%A7%D9%84%D8%B3%D9%87%D8%B1,m
شكر اللَّه منك سقْيك شكرا,فتقبله ثم قبله مادم,ت تراه وكلما قمت تقرا,الحبسي,khafif,complete,خفيف,تام,Ottoman,raa,ر,unspecified,,https://poetry.dctabudhabi.ae/#/poems/70784-%D8%B4%D9%83%D8%B1-%D8%A7%D9%84%D9%84%D9%87-%D9%85%D9%86%D9%83-%D8%B3%D9%82%D9%8A%D9%83-%D8%B4%D9%83%D8%B1%D8%A7,m
زرتُ مثواك يا حبيبي وكل,وعهدناك ثابت العزم لكن,رحت واحسرتاه شهيد ثباتك,سليم نصر الله جُدي,khafif,complete,خفيف,تام,Modern,taa,ت,unspecified,,https://poetry.dctabudhabi.ae/#/poems/108475-%D8%B2%D8%B1%D8%AA-%D9%85%D8%AB%D9%88%D8%A7%D9%83-%D9%8A%D8%A7-%D8%AD%D8%A8%D9%8A%D8%A8%D9%8A-%D9%88%D9%83%D9%84,m
أيا كوكب الشرق الذي ران حبه,لقد ظلت في ظل الخلافة مكرما,وأصبحت غوثا للعفاة ورضوانا,سليمان الصولة,taweel,complete,طويل,تام,Modern,noon,ن,praise poems,قصائد مدح,https://poetry.dctabudhabi.ae/#/poems/108900-%D8%A3%D9%8A%D8%A7-%D9%83%D9%88%D9%83%D8%A8-%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%B0%D9%8A-%D8%B1%D8%A7%D9%86-%D8%AD%D8%A8%D9%87,m
رب موصولٍ هو الناي الذي,كاد من ينفخه ينفخ في,روحنا روحا ولا أحتشم,عبد الغني النابلسي,ramel,complete,رمل,تام,Ottoman,meem,م,short poems,قصائد قصيره,https://poetry.dctabudhabi.ae/#/poems/68800-%D8%B1%D8%A8-%D9%85%D9%88%D8%B5%D9%88%D9%84-%D9%87%D9%88-%D8%A7%D9%84%D9%86%D8%A7%D9%8A-%D8%A7%D9%84%D8%B0%D9%8A,m
أَلا هَلْ أَتى بِنْتَ الثُّوَيْرِ مَغارُنا,تركناهم صرعى لدى كل مزحف,تجرهم عرج الضباع بمحفل,عَمْرُو بْنُ كُلْثُوم,taweel,complete,طويل,تام,Pre_Islam,lam,ل,short poems,قصائد قصيره,https://poetry.dctabudhabi.ae/#/poems/6814-%D8%A3%D9%84%D8%A7-%D9%87%D9%84-%D8%A3%D8%AA%D9%89-%D8%A8%D9%86%D8%AA-%D8%A7%D9%84%D8%AB%D9%88%D9%8A%D8%B1-%D9%85%D8%BA%D8%A7%D8%B1%D9%86%D8%A7,m
